code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
002851.XSHE	0.011463414634146343	2017-10-30	2192660483.7	831494617.95	74.308	3.0393	68.4586	67.7517	5.7615	12.1237	0.2096
002879.XSHE	0.0823577235772358	2017-10-20	1657231035.93	289113014.57	53.946000000000005	1.8357	7.5246	46.8219	4.0161	15.8934	0.18
002882.XSHE	0.02398373983739837	2017-10-26	1597611831.6	263566373.23	65.7475	4.9856	14.6877	55.7244	5.1837	9.4618	0.1788
002892.XSHE	0.08747967479674795	2017-10-25	670420018.79	115719751.37	38.3724	4.1623	-244.0572	56.8369	7.1383	11.2963	0.21
300001.XSHE	0.028373983739837384	2017-10-28	11159233154.05	8102416059.72	170.385	1.3221	65.9288	67.7401	6.0975	1.3643	0.04
300011.XSHE	0.031463414634146335	2017-10-30	4346652280.82	1656620098.83	73.0715	0.5109	215.7503	65.6974	2.846	6.0806	0.0226
300018.XSHE	0.008943089430894313	2017-10-21	1671231907.86	161515154.2	39.1642	1.6219999999999999	50.4544	36.6774	2.7486	26.287	0.05
300029.XSHE	0.007886178861788615	2017-10-30	582797680.72	398028870.12	17.98	5.4565	151.1037	-31.5382	10.8448	11.8747	0.0465
300040.XSHE	0.02983739837398374	2017-10-28	2918566024.09	1055049516.31	40.8501	1.2054	113.8681	31.2993	2.2612	8.4587	0.07
300048.XSHE	0.015853658536585363	2017-10-30	4824459987.59	2166766869.17	59.5189	0.2519	-66.4141	33.2599	2.4217	3.0494	0.0056
300062.XSHE	0.03317073170731707	2017-10-28	2079033477.62	1122803499.94	32.032	0.2144	8.0193	40.8385	3.6969	1.8841	0.01
300068.XSHE	0.017317073170731712	2017-10-30	10640567579.19	4503115731.36	159.9388	3.5316	-7.6629	48.5629	2.1642	7.0542	0.26
300069.XSHE	0.07918699186991872	2017-10-30	924005382.86	387170235.68	46.2969	1.8352	-6805.4341	193.825	8.9396	14.0232	0.08
300105.XSHE	0.015934959349593495	2017-10-27	2375036300.91	451702938.04	36.1817	0.047	-5.8172	-21.997	1.8857	0.4722	0.0
300111.XSHE	0.007642276422764227	2017-10-30	2904298327.87	1601938186.97	46.2477	0.2822	38.7807	150.9205	3.5469999999999997	1.5128	0.003
300118.XSHE	0.016504065040650415	2017-10-26	16227615771.67	8792615703.8	124.3848	2.2014	4.7205	18.057000000000002	1.7934	9.7263	0.195
300120.XSHE	0.015691056910569105	2017-10-27	841798718.58	142328871.18	27.3683	0.2363	-78.7004	174.5514	4.4388	0.2156	0.0071
300124.XSHE	-0.019512195121951237	2017-10-25	8741155412.67	3356296351.11	481.2173	5.9803	4180.146	51.6418	10.1111	25.2412	0.18
